Appareil;Nom=;Four Thermidor Efita;;Numéro de série=;8470479;;Version de logiciel=;5.4;;;
;Adresse MAC=;00:0A:8D:81:3F:CF;;Langue=;fr;;Pays=;FR;;Fuseau horaire=;GMT
Groupe;Group 2;;;;;;;;;;
T° Bac trempe;Bas=;0;Haut=;50;Unités=;°C;;;;;
% Puissance;Bas=;0;Haut=;100;Unités=;%;;;;;
Consigne T°;Bas=;50;Haut=;550;Unités=;°C;;;;;
N° Programme;Bas=;0;Haut=;50;Unités=;;;;;;
Chrono Trempe;Bas=;00:00:00;Haut=;00:00:00;Unités=;;;;;;
Date/Heure;;T° Bac trempe;% Puissance;Consigne T°;N° Programme;Chrono Trempe;;;;;
;;°C;%;°C;;;;;;;
09/02/23 13:55:52.75;09/02/23 13:55:52 Démarrage lot (Invité);;;;;;;;;;
09/02/23 13:55:52.75;09/02/23 13:55:52 N° OF 340653--5374OFF;;;;;;;;;;
09/02/23 13:55:52.75;;20;19,7;495;6;00:00:00;;;;;
09/02/2023 13:56;;20;18,9;495;6;00:00:00;;;;;
09/02/2023 13:56;;20;18,8;495;6;00:00:00;;;;;
09/02/2023 13:56;;20;19,5;495;6;00:00:00;;;;;
09/02/2023 13:56;;20;19,3;495;6;00:00:00;;;;;
09/02/2023 13:56;;20;19,2;495;6;00:00:00;;;;;
09/02/2023 13:56;;20;19,2;495;6;00:00:00;;;;;
09/02/2023 13:57;;20;19,2;495;6;00:00:00;;;;;
09/02/2023 13:57;;20;19,2;495;6;00:00:00;;;;;
09/02/2023 13:57;;20;19,2;495;6;00:00:00;;;;;
09/02/2023 13:57;;20;19,2;495;6;00:00:00;;;;;
09/02/2023 13:57;;20;19,2;495;6;00:00:00;;;;;
09/02/2023 13:57;;20;19,2;495;6;00:00:00;;;;;
09/02/2023 13:58;;20;19,2;495;6;00:00:00;;;;;
09/02/2023 13:58;;20;19,9;495;6;00:00:00;;;;;
09/02/2023 13:58;;20;100;495;6;00:00:00;;;;;
09/02/2023 13:58;;20;100;495;6;00:00:00;;;;;
09/02/2023 13:58;;20;100;495;6;00:00:00;;;;;
09/02/2023 13:58;;20;100;495;6;00:00:00;;;;;
09/02/2023 13:59;;20;100;495;6;00:00:00;;;;;
09/02/2023 13:59;;20;100;495;6;00:00:00;;;;;
09/02/2023 13:59;;20;100;495;6;00:00:00;;;;;
09/02/2023 13:59;;20;100;495;6;00:00:00;;;;;
09/02/2023 13:59;;20;100;495;6;00:00:00;;;;;
09/02/2023 13:59;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:00;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:00;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:00;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:00;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:00;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:00;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:01;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:01;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:01;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:01;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:01;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:01;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:02;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:02;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:02;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:02;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:02;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:02;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:03;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:03;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:03;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:03;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:03;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:03;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:04;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:04;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:04;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:04;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:04;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:04;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:05;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:05;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:05;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:05;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:05;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:05;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:06;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:06;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:06;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:06;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:06;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:06;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:07;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:07;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:07;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:07;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:07;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:07;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:08;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:08;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:08;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:08;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:08;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:08;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:09;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:09;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:09;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:09;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:09;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:09;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:10;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:10;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:10;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:10;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:10;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:10;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:11;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:11;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:11;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:11;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:11;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:11;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:12;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:12;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:12;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:12;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:12;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:12;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:13;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:13;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:13;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:13;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:13;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:13;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:14;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:14;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:14;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:14;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:14;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:14;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:15;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:15;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:15;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:15;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:15;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:15;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:16;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:16;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:16;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:16;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:16;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:16;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:17;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:17;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:17;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:17;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:17;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:17;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:18;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:18;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:18;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:18;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:18;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:18;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:19;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:19;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:19;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:19;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:19;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:19;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:20;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:20;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:20;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:20;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:20;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:20;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:21;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:21;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:21;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:21;;20;100;495;6;00:00:00;;;;;
09/02/2023 14:21;;20;99,7;495;6;00:00:00;;;;;
09/02/2023 14:21;;20;95;495;6;00:00:00;;;;;
09/02/2023 14:22;;20;91;495;6;00:00:00;;;;;
09/02/2023 14:22;;20;85,3;495;6;00:00:00;;;;;
09/02/2023 14:22;;20;81,7;495;6;00:00:00;;;;;
09/02/2023 14:22;;20;77,2;495;6;00:00:00;;;;;
09/02/2023 14:22;;20;75,1;495;6;00:00:00;;;;;
09/02/2023 14:22;;20;73,6;495;6;00:00:00;;;;;
09/02/2023 14:23;;20;72,5;495;6;00:00:00;;;;;
09/02/2023 14:23;;20;71,8;495;6;00:00:00;;;;;
09/02/2023 14:23;;20;70,7;495;6;00:00:00;;;;;
09/02/2023 14:23;;20;68,7;495;6;00:00:00;;;;;
09/02/2023 14:23;;20;67,4;495;6;00:00:00;;;;;
09/02/2023 14:23;;20;65,6;495;6;00:00:00;;;;;
09/02/2023 14:24;;20;64,5;495;6;00:00:00;;;;;
09/02/2023 14:24;;20;63,1;495;6;00:00:00;;;;;
09/02/2023 14:24;;20;61,9;495;6;00:00:00;;;;;
09/02/2023 14:24;;20;59,9;495;6;00:00:00;;;;;
09/02/2023 14:24;;20;58,4;495;6;00:00:00;;;;;
09/02/2023 14:24;;20;57,5;495;6;00:00:00;;;;;
09/02/2023 14:25;;20;55,7;495;6;00:00:00;;;;;
09/02/2023 14:25;;20;54,9;495;6;00:00:00;;;;;
09/02/2023 14:25;;20;53,5;495;6;00:00:00;;;;;
09/02/2023 14:25;;20;51,8;495;6;00:00:00;;;;;
09/02/2023 14:25;;20;51,3;495;6;00:00:00;;;;;
09/02/2023 14:25;;20;50,6;495;6;00:00:00;;;;;
09/02/2023 14:26;;20;49;495;6;00:00:00;;;;;
09/02/2023 14:26;;20;49,7;495;6;00:00:00;;;;;
09/02/2023 14:26;;20;48;495;6;00:00:00;;;;;
09/02/2023 14:26;;20;47,9;495;6;00:00:00;;;;;
09/02/2023 14:26;;20;44,6;495;6;00:00:00;;;;;
09/02/2023 14:26;;20;45,5;495;6;00:00:00;;;;;
09/02/2023 14:27;;20;44;495;6;00:00:00;;;;;
09/02/2023 14:27;;20;42;495;6;00:00:00;;;;;
09/02/2023 14:27;;20;41,4;495;6;00:00:00;;;;;
09/02/2023 14:27;;20;40,7;495;6;00:00:00;;;;;
09/02/2023 14:27;;20;39,8;495;6;00:00:00;;;;;
09/02/2023 14:27;;20;41,5;495;6;00:00:00;;;;;
09/02/2023 14:28;;20;40,1;495;6;00:00:00;;;;;
09/02/2023 14:28;;20;38,1;495;6;00:00:00;;;;;
09/02/2023 14:28;;20;37,2;495;6;00:00:00;;;;;
09/02/2023 14:28;;20;38;495;6;00:00:00;;;;;
09/02/2023 14:28;;20;35,8;495;6;00:00:00;;;;;
09/02/2023 14:28;;20;35,5;495;6;00:00:00;;;;;
09/02/2023 14:29;;20;35,2;495;6;00:00:00;;;;;
09/02/2023 14:29;;20;34,5;495;6;00:00:00;;;;;
09/02/2023 14:29;;20;33,6;495;6;00:00:00;;;;;
09/02/2023 14:29;;20;34,8;495;6;00:00:00;;;;;
09/02/2023 14:29;;20;34,2;495;6;00:00:00;;;;;
09/02/2023 14:29;;20;32,4;495;6;00:00:00;;;;;
09/02/2023 14:30;;20;31,9;495;6;00:00:00;;;;;
09/02/2023 14:30;;20;32,6;495;6;00:00:00;;;;;
09/02/2023 14:30;;20;31,1;495;6;00:00:00;;;;;
09/02/2023 14:30;;20;29,9;495;6;00:00:00;;;;;
09/02/2023 14:30;;20;29,4;495;6;00:00:00;;;;;
09/02/2023 14:30;;20;29,6;495;6;00:00:00;;;;;
